id,category,firstname,lastname,gender,dob,previous_school,doj,class,post,salary,class_teacher_of,roll_no,emp_no,total_marks,city,aadhar_number,contact_number,blood_group,subject_teaches,hs_stream,sec_percent
21,teacher,koo,Baar,f,8/14/1967,MNPS School,11/27/1988,,assistant teacher,85000,X,,VG005,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
21,student,Hoo,Boo,m,6/14/1995,,,XI,,,,9002,,875,pune,6366-45345-45345,92342323,B+,,arts,80
22,student,Hoo,Baa,m,4/14/1995,,,XI,,,,9003,,875,pune,6366-45345-45345,92342323,B+,,arts,80
23,teacher,koo,Boo,f,3/14/1967,MNPS School,12/29/1989,,assistant teacher,85000,X,,VG004,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
24,teacher,kumar,sss,f,3/14/1966,MNPS School,10/13/1986,,assistant teacher,85000,X,,VG012,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
25,teacher,koo,Boo,f,3/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG013,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
26,teacher,koo,Boo,f,3/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG014,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
27,student,Hoo,Baa,m,6/14/1995,,,XI,,,,9004,,875,pune,6366-45345-45345,92342323,B+,,arts,80
28,student,Hoo,Bqq,m,6/14/1995,,,XI,,,,9005,,875,pune,6366-45345-45345,92342323,B+,,arts,80
29,student,Hoo,Bff,m,6/14/1995,,,XI,,,,9006,,875,pune,6366-45345-45345,92342323,B+,,arts,80
30,student,Hoo,Bll,m,6/14/1995,,,XI,,,,9007,,875,pune,6366-45345-45345,92342323,B+,,arts,80
31,teacher,Malabika,Das,f,3/14/1970,Rkms English Sec School,11/23/1995,,assistant teacher,45000,IX,,VG015,,kolkata,2423-1486-7112,734969478,O+,Fine/Arts,,
32,teacher,Malabi,Das,f,3/14/1970,Rkms English Sec School,10/28/1995,,assistant teacher,45000,IX,,VG016,,kolkata,2423-1486-7112,734969478,O+,Fine/Arts,,
33,student,Ramu,Murugan,m,3/14/2001,,,VIII,,,,1004,,672,chennai,8929-2092-2322,90113121,B-,,science,82
34,teacher,koo,Boo,f,3/14/1967,MNPS School,10/22/1989,,assistant teacher,85000,X,,VG017,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
35,teacher,koo,Boo,f,3/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG018,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
36,student,prashant,kumar,m,1/14/1981,,,X,,,,1005,,600,kolkata,8929-2092-2425,90113157,O+,,science,72
37,student,Rahul,Sen,m,12/18/1988,,,XI,,,,1012,,685,kolkata,8929-2092-9535,90113721,O+,,science,77
38,student,Rahul,Sen,m,12/18/1986,,,XI,,,,1013,,685,kolkata,8929-2092-9535,90113721,O+,,science,77
39,teacher,Div,pathak,f,8/14/1979,KPS School,10/23/1992,,Japanese teacher,80000,N3,,VG019,,Pune,3442-23422-3455,73496943,O-,N5-N3,,
40,teacher,Sunil,Baar,f,2/19/1967,MNPS School,10-02-1994,,assistant teacher,85000,X,,VG0120,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
41,student,suni,Murugan,m,3/18/2000,,,VIII,,,,1014,,672,chennai,8929-2092-2322,90113121,B-,,science,83
42,teacher,Sunil,Baar,f,2/19/1967,MNPS School,10-02-1994,,assistant teacher,85000,X,,VG021,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
43,student,suni,Murugan,m,3/18/2000,,,VIII,,,,1015,,672,chennai,8929-2092-2322,90113121,B-,,science,82
44,student,suni,Murugan,m,3/18/2000,,,VIII,,,,1016,,672,chennai,8929-2092-2322,90113121,B-,,science,86
45,teacher,koo,Boo,f,3/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG022,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
46,teacher,koo,Boo,f,3/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG023,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
47,student,Rahul,hoo,m,12/18/1988,,,XI,,,,1017,,785,kolkata,8929-2092-9535,90113721,O+,,science,85
48,student,Rahul,boo,m,12/18/1988,,,XI,,,,1018,,785,kolkata,8929-2092-9535,90113721,O+,,science,82
49,teacher,Sunil,Baar,f,2/19/1967,MNPS School,10-02-1994,,assistant teacher,85000,X,,VG024,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
50,student,suni,sss,m,3/18/2000,,,VIII,,,,1019,,672,chennai,8929-2092-2345,90113121,B-,,science,88
51,teacher,Sunil,Boo,f,2/19/1967,MNPS School,10-02-1994,,assistant teacher,85000,X,,VG025,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
52,student,suni,Muru,m,3/18/2000,,,VIII,,,,1020,,672,chennai,8929-2092-2321,90113121,B-,,science,89
